state,district
up,Agra
up,Aligarh
up,Ambedkar Nagar
up,Amethi
up,Amroha
up,Auraiya
up,Ayodhya(Faizabad)
up,Azamgarh
up,Badaun
up,Baghpat
up,Ballia
up,Balrampur
up,Banda
up,Barabanki
up,Bareilly
up,Basti
up,Behraich
up,Bijnor
up,Bulandshahar
up,Chandauli
up,Chitrakoot
up,Deoria
up,Etah
up,Etawah
up,Farrukhabad
up,Fatehpur
up,Firozabad
up,Gautam Budh Nagar
up,Ghaziabad
up,Ghazipur
up,Gonda
up,Gorakhpur
up,Hamirpur
up,Hapur
up,Hardoi
up,Hathras
up,Jalaun
up,Jaunpur
up,Jhansi
up,Kannauj
up,Kanpur Dehat
up,Kanpur Nagar
up,Kasganj
up,Kaushambi
up,Kushinagar
up,Lakhimpur Kheri
up,Lalitpur
up,Lucknow
up,Maharajganj
up,Mahoba
up,Mainpuri
up,Mathura
up,Mau
up,Meerut
up,Mirzapur
up,Moradabad
up,Muzaffarnagar
up,Pilibhit
up,Pratapgarh
up,Prayagraj(Allahabad)
up,Raebareli
up,Rampur
up,Saharanpur
up,Sambhal
up,Sant Kabir Nagar
up,Sant Ravidas Nagar
up,Shahjahanpur
up,Shamli
up,Shravasti
up,Sidharthnagar
up,Sitapur
up,Sonbhadra
up,Sultanpur
up,Unnao
up,Varanasi
